,,,,Goalie Stats,,,,,,,,,Goalie Stats,,,Goalie Stats,,,,,,Scoring,,,
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
68,Andrew Raycroft,29,VAN,21,14,9,5,1,39,438,399,0.911,2.42,1,2.6,967,8,0.571,2,100,-0.14,0,0,0,4
69,Pekka Rinne,27,NSH,58,54,32,16,5,137,1541,1404,0.911,2.53,7,9.2,3246,25,0.463,7,100,-0.27,0,0,0,2
70,Dwayne Roloson,40,NYI,50,49,23,18,7,145,1555,1410,0.907,3,1,8.5,2897,27,0.551,10,105,-7.02,0,0,0,14
71,Alexander Salak,23,FLA,2,0,0,1,0,6,40,34,0.85,5.41,0,0,67,0,,0,,,0,0,0,0
72,Cory Schneider,23,VAN,2,1,0,1,0,5,59,54,0.915,3.81,0,0.4,79,1,1,0,,,0,0,0,0
73,Mike Smith,27,TBL,42,36,13,18,7,117,1165,1048,0.9,3.09,2,5.4,2273,17,0.472,6,113,-13.63,0,0,0,14
74,Jose Theodore,33,WSH,47,42,30,7,7,121,1352,1231,0.911,2.81,1,8,2586,25,0.595,7,101,-1.04,0,2,2,0
75,Tim Thomas,35,BOS,43,42,17,18,8,104,1221,1117,0.915,2.56,5,7.8,2442,26,0.619,9,96,4.34,0,0,0,8
76,Dustin Tokarski,20,TBL,2,0,0,0,0,3,16,13,0.813,4.06,0,-0.1,44,0,,0,,,0,0,0,0
77,Vesa Toskala,32,TOT,32,26,9,12,3,93,773,680,0.88,3.48,1,1.8,1605,9,0.346,8,136,-24.41,0,0,0,4
77,Vesa Toskala,32,TOR,26,23,7,12,3,85,676,591,0.874,3.66,1,1.2,1393,7,0.304,7,142,-25.02,0,0,0,4
77,Vesa Toskala,32,CGY,6,3,2,0,0,8,97,89,0.918,2.27,0,0.7,212,2,0.667,1,,,0,0,0,0
78,Marty Turco,34,DAL,53,51,22,20,11,140,1605,1465,0.913,2.72,4,9.9,3088,29,0.569,8,98,2.41,0,4,4,10
79,Steve Valiquette,32,NYR,6,5,2,3,0,19,128,109,0.852,3.74,1,-0.1,305,2,0.4,2,,,0,0,0,0
80,Semyon Varlamov,21,WSH,26,23,15,4,6,65,718,653,0.909,2.55,2,4.2,1527,11,0.478,3,102,-1.29,0,1,1,0
81,Tomas Vokoun,33,FLA,63,62,23,28,11,157,2081,1924,0.925,2.55,7,15.7,3695,38,0.613,6,85,27.65,0,2,2,0
82,Cam Ward,25,CAR,47,44,18,23,5,119,1409,1290,0.916,2.69,0,9.2,2651,25,0.568,4,95,6.02,0,3,3,0
83,Matt Zaba,26,NYR,1,0,0,0,0,2,16,14,0.875,3.56,0,0,34,0,,0,,,0,0,0,0
